height,weight,label
155,65,fat
172,50,thin
194,40,thin
180,71,normal
179,50,thin
157,62,fat
162,68,fat
168,66,normal
184,69,normal
199,70,thin
160,67,fat
177,52,thin
191,63,thin
156,48,normal
175,60,normal
163,72,fat
158,76,fat
174,69,normal
154,70,fat
196,51,thin
170,53,thin
199,61,thin
192,80,normal
166,65,normal
172,64,normal
153,69,fat
171,76,fat
190,72,normal
167,62,normal
196,80,normal
182,58,thin
158,74,fat
182,79,normal
184,50,thin
180,64,normal
195,75,normal
187,53,thin
199,56,thin
170,72,normal
151,66,fat
180,46,thin
150,44,normal
164,70,fat
153,43,thin
181,63,normal
185,44,thin
199,49,thin
189,64,thin
184,78,normal
168,40,thin
152,62,fat
194,67,thin
179,46,thin
163,41,thin
163,57,normal
163,66,normal
169,56,normal
166,43,thin
177,55,thin
162,47,thin
190,49,thin
178,79,normal
173,76,fat
173,63,normal
191,53,thin
200,79,normal
150,45,normal
154,79,fat
173,51,thin
159,76,fat
193,63,thin
171,44,thin
188,44,thin
182,45,thin
177,41,thin
179,80,normal
196,63,thin
164,64,normal
189,43,thin
171,64,normal
185,65,normal
184,80,normal
162,73,fat
177,78,normal
198,47,thin
172,67,normal
171,62,normal
179,63,normal
198,72,thin
199,77,normal
151,55,normal
165,70,fat
180,76,normal
170,48,thin
183,73,normal
151,52,normal
178,50,thin
181,45,thin
188,49,thin
174,65,normal
198,62,thin
153,46,normal
155,67,fat
168,67,normal
152,46,normal
153,79,fat
170,58,normal
179,75,normal
155,44,thin
185,61,thin
158,56,normal
154,66,fat
189,49,thin
189,66,thin
182,61,thin
155,42,thin
151,58,fat
197,48,thin
176,60,normal
177,52,thin
161,55,normal
154,76,fat
164,75,fat
159,55,normal
169,52,thin
183,63,normal
157,54,normal
176,80,fat
196,56,thin
167,66,normal
192,43,thin
165,63,normal
156,64,fat
155,65,fat
177,43,thin
178,60,normal
157,42,thin
189,50,thin
166,73,fat
175,78,fat
189,52,thin
191,50,thin
160,60,normal
195,56,thin
162,60,normal
189,70,normal
195,66,thin
153,71,fat
169,75,fat
168,60,normal
194,55,thin
158,48,normal
162,57,normal
198,40,thin
189,56,thin
195,40,thin
153,59,fat
174,79,fat
179,76,normal
198,76,normal
185,62,thin
